region,time,spei_true,spei_pred_persistence
SADC,2021-11-01,-0.22746753692626953,-0.1940065622329712
SADC,2021-12-01,0.0006466947961598635,-0.22746753692626953
SADC,2022-01-01,0.24140840768814087,0.0006466947961598635
SADC,2022-02-01,0.23469947278499603,0.24140840768814087
SADC,2022-03-01,0.24396660923957825,0.23469947278499603
SADC,2022-04-01,0.23469090461730957,0.24396660923957825
SADC,2022-05-01,0.2877410650253296,0.23469090461730957
SADC,2022-06-01,0.3776566982269287,0.2877410650253296
SADC,2022-07-01,-0.019180098548531532,0.3776566982269287
SADC,2022-08-01,-0.01972396858036518,-0.019180098548531532
SADC,2022-09-01,-0.3703897297382355,-0.01972396858036518
SADC,2022-10-01,-0.4630802869796753,-0.3703897297382355
SADC,2022-11-01,-0.34492403268814087,-0.4630802869796753
SADC,2022-12-01,-0.07084428519010544,-0.34492403268814087
SEA,2000-02-01,0.6524192690849304,0.626092255115509
SEA,2000-03-01,0.589984118938446,0.6524192690849304
SEA,2000-04-01,0.9346176981925964,0.589984118938446
SEA,2000-05-01,0.7829704880714417,0.9346176981925964
SEA,2000-06-01,0.7514592409133911,0.7829704880714417
SEA,2000-07-01,0.3611410856246948,0.7514592409133911
SEA,2000-08-01,0.19536086916923523,0.3611410856246948
SEA,2000-09-01,-0.14332062005996704,0.19536086916923523
SEA,2000-10-01,0.33048397302627563,-0.14332062005996704
SEA,2000-11-01,0.32743024826049805,0.33048397302627563
SEA,2000-12-01,0.49816471338272095,0.32743024826049805
SEA,2001-01-01,0.1491493284702301,0.49816471338272095
SEA,2001-02-01,0.2078184187412262,0.1491493284702301
SEA,2001-03-01,0.7326427698135376,0.2078184187412262
SEA,2001-04-01,0.32862821221351624,0.7326427698135376
SEA,2001-05-01,0.34150591492652893,0.32862821221351624
SEA,2001-06-01,0.0678146705031395,0.34150591492652893
SEA,2001-07-01,-0.016565844416618347,0.0678146705031395
SEA,2001-08-01,-0.0013854276621714234,-0.016565844416618347
SEA,2001-09-01,-0.08637440204620361,-0.0013854276621714234
SEA,2001-10-01,0.26490846276283264,-0.08637440204620361
SEA,2001-11-01,0.3813897371292114,0.26490846276283264
SEA,2001-12-01,0.40818268060684204,0.3813897371292114
SEA,2002-01-01,0.0036128114443272352,0.40818268060684204
SEA,2002-02-01,-0.1663602739572525,0.0036128114443272352
SEA,2002-03-01,-0.1766730546951294,-0.1663602739572525
SEA,2002-04-01,-0.39978453516960144,-0.1766730546951294
SEA,2002-05-01,-0.1796298772096634,-0.39978453516960144
SEA,2002-06-01,-0.3606361150741577,-0.1796298772096634
SEA,2002-07-01,-0.26764073967933655,-0.3606361150741577
SEA,2002-08-01,-0.10974099487066269,-0.26764073967933655
SEA,2002-09-01,0.058634497225284576,-0.10974099487066269
SEA,2002-10-01,-0.26724642515182495,0.058634497225284576
SEA,2002-11-01,-0.32770639657974243,-0.26724642515182495
